Name,Facility Type,AHCA Number (File Number),Phone Number,Licensed Beds,License ID,License Number,License Status,Closed Date,License Effective Date,License Expiration Date,Street Address,Street Address 2,Street City,Street Zip,Street State,Street County,Mailing Address,Mailing Address 2,Mailing City,Mailing State,Mailing Zip,Mailing County,Owner,Owner Since,Profit Status,Web Address,Admin/CEO
,Healthcare Facility,,(305) 558-3522,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 353-2452,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 492-3736,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 492-3736,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 492-3736,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 492-3736,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 492-3736,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 724-1400,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 353-2216,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 353-2216,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 400-8299,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 593-3622,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 593-3622,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 593-3622,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 888-5280,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(800) 733-7962,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 860-0717,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 377-5250,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 377-5250,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(754) 200-1365,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,nan,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 266-0600,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 275-5871,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 275-5871,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,nan,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 825-2112,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,nan,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 819-8290,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(954) 321-8681,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,nan,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 631-4550,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 733-5031,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 305-4502,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 305-4502,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 514-9517,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 456-1901,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 510-5745,30,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 964-5736,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 979-6706,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 446-9155,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 631-3738,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 825-2000,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 491-0062,55,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 600-8144,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 505-2597,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 803-8378,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 732-4299,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 732-4299,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 846-9727,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 838-1650,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 846-9727,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 294-4793,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 286-6741,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 953-4082,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,nan,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 365-4834,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 990-5940,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 206-3199,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 254-7557,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 521-3071,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 591-2288,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(954) 986-5090,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 877-7940,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 819-1551,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 824-8816,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 824-8816,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 836-9701,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 887-3001,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 229-1315,6,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 417-3050,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 417-3050,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 485-4972,6,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 536-6734,6,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 447-4223,6,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 801-1168,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 801-1168,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 332-2429,84,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 332-2429,100,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 353-2778,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 803-8116,6,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 896-8161,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 542-0967,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 953-8052,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 433-2005,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 863-9537,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 837-7474,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 554-4111,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 653-6856,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 653-6856,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(818) 366-1160,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 999-7347,6,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 323-6800,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 614-5989,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 947-0885,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 558-4440,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 873-0460,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 539-8927,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 631-4550,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 631-4550,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 254-7100,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 803-8378,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 294-0255,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 899-0908,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 229-4053,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 264-4565,6,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 613-3625,6,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 206-6186,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 351-3135,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 964-4045,65,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 224-1929,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 825-4600,6,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 444-0441,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 646-1936,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 856-8003,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 856-8003,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 747-4820,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 456-3000,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 652-6676,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 558-8073,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 609-6072,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 319-8882,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 804-3478,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 798-6945,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 456-1766,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 502-3486,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 456-1766,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 456-1766,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 456-1766,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 340-2687,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 743-2111,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 536-2009,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 674-5308,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,nan,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 964-5630,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 964-5630,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 360-5346,80,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 478-6860,155,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 990-0084,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 340-5550,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 454-0630,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 454-0630,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 906-3333,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 472-9072,40,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 938-0406,34,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 246-1888,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(350) 246-1888,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 703-5112,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 668-2853,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 242-5333,107,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 536-9714,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 646-6953,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 574-8240,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 362-1128,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 530-8887,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 536-5159,23,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 465-4836,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 703-8696,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 391-8695,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 239-6027,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 454-1481,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 790-8953,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 603-7722,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,nan,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 412-8411,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 670-9117,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 227-6682,6,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 229-3431,6,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 422-7374,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 475-4001,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 856-7553,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 648-7113,6,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 525-0355,50,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 486-9878,22,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 456-7330,6,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 442-6012,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(303) 859-5996,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 397-3597,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,nan,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 402-9217,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 541-8989,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(854) 444-2961,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 674-2766,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 621-8080,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 303-5713,6,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 747-7599,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 762-3883,15,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 904-8001,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 238-7364,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 210-3473,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 800-9512,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 210-3473,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 322-7333,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 322-7333,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 322-7333,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 322-7333,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 224-1980,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 322-7333,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 635-7710,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 322-7333,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 322-7333,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 322-7333,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 322-7333,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 456-9005,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 422-6525,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 322-7333,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 322-7333,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 651-7727,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 627-3103,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 627-3103,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 471-2718,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 873-1426,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 826-9449,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 777-3883,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 485-0933,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 485-0933,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 392-1143,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 403-1035,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 649-8871,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 967-8381,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 541-1050,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 633-9090,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 633-9090,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 942-5070,15,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 486-5184,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(305) 826-6365,27,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 208-6744,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
,Healthcare Facility,,(786) 615-4750,0,,,ACTIVE,,,,,,,,FL,,,,,,,,,,,,
